flight_number,name,date,rocket_id,success,details,crew_count,payload_count,launchpad,upcoming,year,month,day_of_week,rocket_name,success_status,has_crew
1,FalconSat,2006-03-24 22:30:00+00:00,5e9d0d95eda69955f709d1eb,False,Engine failure at 33 seconds and loss of vehicle,0,1,5e9e4502f5090995de566f86,False,2006,3,Friday,Falcon 1,Failure,False
2,DemoSat,2007-03-21 01:10:00+00:00,5e9d0d95eda69955f709d1eb,False,"Successful first stage burn and transition to second stage, maximum altitude 289 km, Premature engine shutdown at T+7 min 30 s, Failed to reach orbit, Failed to recover first stage",0,1,5e9e4502f5090995de566f86,False,2007,3,Wednesday,Falcon 1,Failure,False
3,Trailblazer,2008-08-03 03:34:00+00:00,5e9d0d95eda69955f709d1eb,False,Residual stage 1 thrust led to collision between stage 1 and stage 2,0,2,5e9e4502f5090995de566f86,False,2008,8,Sunday,Falcon 1,Failure,False
4,RatSat,2008-09-28 23:15:00+00:00,5e9d0d95eda69955f709d1eb,True,"Ratsat was carried to orbit on the first successful orbital launch of any privately funded and developed, liquid-propelled carrier rocket, the SpaceX Falcon 1",0,1,5e9e4502f5090995de566f86,False,2008,9,Sunday,Falcon 1,Success,False
5,RazakSat,2009-07-13 03:35:00+00:00,5e9d0d95eda69955f709d1eb,True,,0,1,5e9e4502f5090995de566f86,False,2009,7,Monday,Falcon 1,Success,False
6,Falcon 9 Test Flight,2010-06-04 18:45:00+00:00,5e9d0d95eda69973a809d1ec,True,,0,1,5e9e4501f509094ba4566f84,False,2010,6,Friday,Falcon 9,Success,False
7,COTS 1,2010-12-08 15:43:00+00:00,5e9d0d95eda69973a809d1ec,True,,0,2,5e9e4501f509094ba4566f84,False,2010,12,Wednesday,Falcon 9,Success,False
8,COTS 2,2012-05-22 07:44:00+00:00,5e9d0d95eda69973a809d1ec,True,"Launch was scrubbed on first attempt, second launch attempt was successful",0,1,5e9e4501f509094ba4566f84,False,2012,5,Tuesday,Falcon 9,Success,False
9,CRS-1,2012-10-08 00:35:00+00:00,5e9d0d95eda69973a809d1ec,True,"CRS-1 successful, but the secondary payload was inserted into abnormally low orbit and lost due to Falcon 9 boost stage engine failure, ISS visiting vehicle safety rules, and the primary payload owner's contractual right to decline a second ignition of the second stage under some conditions.",0,2,5e9e4501f509094ba4566f84,False,2012,10,Monday,Falcon 9,Success,False
10,CRS-2,2013-03-01 19:10:00+00:00,5e9d0d95eda69973a809d1ec,True,Last launch of the original Falcon 9 v1.0 launch vehicle,0,1,5e9e4501f509094ba4566f84,False,2013,3,Friday,Falcon 9,Success,False
11,CASSIOPE,2013-09-29 16:00:00+00:00,5e9d0d95eda69973a809d1ec,True,"Commercial mission and first Falcon 9 v1.1 flight, with improved 13-tonne to LEO capacity. Following second-stage separation from the first stage, an attempt was made to perform an ocean touchdown test of the discarded booster vehicle. The test provided good test data on the experiment-its primary objective-but as the booster neared the ocean, aerodynamic forces caused an uncontrollable roll. The center engine, depleted of fuel by centrifugal force, shut down resulting in the impact and destruction of the vehicle.",0,1,5e9e4502f509092b78566f87,False,2013,9,Sunday,Falcon 9,Success,False
12,SES-8,2013-12-03 22:41:00+00:00,5e9d0d95eda69973a809d1ec,True,First GTO launch for Falcon 9,0,1,5e9e4501f509094ba4566f84,False,2013,12,Tuesday,Falcon 9,Success,False
